sample_index,image_id,relative_path,target_class_id,target_class_name,openai_clip_category,eva02_clip_category,openai_clip_baseline_top1_class_id,openai_clip_baseline_top1_class_name,openai_clip_fudd_top1_class_id,openai_clip_fudd_top1_class_name,openai_clip_baseline_target_rank,openai_clip_fudd_target_rank,eva02_clip_baseline_top1_class_id,eva02_clip_baseline_top1_class_name,eva02_clip_fudd_top1_class_id,eva02_clip_fudd_top1_class_name,eva02_clip_baseline_target_rank,eva02_clip_fudd_target_rank
0,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,Black-footed Albatross,degraded,degraded,0,Black-footed Albatross,2,Sooty Albatross,1,2,0,Black-footed Albatross,1,Laysan Albatross,1,2
454,993,018.Spotted_Catbird/Spotted_Catbird_0009_796795.jpg,17,Spotted Catbird,degraded,degraded,17,Spotted Catbird,147,Green-tailed Towhee,1,2,17,Spotted Catbird,69,Green Violetear,1,3
772,1644,030.Fish_Crow/Fish_Crow_0059_25864.jpg,29,Fish Crow,degraded,degraded,29,Fish Crow,28,American Crow,1,2,29,Fish Crow,28,American Crow,1,2
780,1659,030.Fish_Crow/Fish_Crow_0085_25919.jpg,29,Fish Crow,degraded,degraded,29,Fish Crow,28,American Crow,1,2,29,Fish Crow,28,American Crow,1,3
1486,3081,054.Blue_Grosbeak/Blue_Grosbeak_0049_37180.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,3
1488,3084,054.Blue_Grosbeak/Blue_Grosbeak_0024_36680.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,2
1495,3100,054.Blue_Grosbeak/Blue_Grosbeak_0085_36990.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,2
1505,3124,054.Blue_Grosbeak/Blue_Grosbeak_0002_36648.jpg,53,Blue Grosbeak,degraded,degraded,53,Blue Grosbeak,14,Lazuli Bunting,1,2,53,Blue Grosbeak,14,Lazuli Bunting,1,2
1677,3470,060.Glaucous_winged_Gull/Glaucous_Winged_Gull_0011_44827.jpg,59,Glaucous-winged Gull,degraded,degraded,59,Glaucous-winged Gull,58,California Gull,1,3,59,Glaucous-winged Gull,58,California Gull,1,2
1680,3475,060.Glaucous_winged_Gull/Glaucous_Winged_Gull_0111_44856.jpg,59,Glaucous-winged Gull,degraded,degraded,59,Glaucous-winged Gull,58,California Gull,1,2,59,Glaucous-winged Gull,58,California Gull,1,2
1780,3677,064.Ring_billed_Gull/Ring_Billed_Gull_0044_50239.jpg,63,Ring-billed Gull,degraded,degraded,63,Ring-billed Gull,58,California Gull,1,2,63,Ring-billed Gull,58,California Gull,1,2
1782,3680,064.Ring_billed_Gull/Ring_Billed_Gull_0038_51275.jpg,63,Ring-billed Gull,degraded,degraded,63,Ring-billed Gull,58,California Gull,1,2,63,Ring-billed Gull,58,California Gull,1,2
1794,3705,064.Ring_billed_Gull/Ring_Billed_Gull_0051_51440.jpg,63,Ring-billed Gull,degraded,degraded,63,Ring-billed Gull,58,California Gull,1,2,63,Ring-billed Gull,58,California Gull,1,2
1806,3727,065.Slaty_backed_Gull/Slaty_Backed_Gull_0017_796034.jpg,64,Slaty-backed Gull,degraded,degraded,64,Slaty-backed Gull,58,California Gull,1,3,64,Slaty-backed Gull,65,Western Gull,1,2
1814,3749,065.Slaty_backed_Gull/Slaty_Backed_Gull_0035_796026.jpg,64,Slaty-backed Gull,degraded,degraded,64,Slaty-backed Gull,65,Western Gull,1,2,64,Slaty-backed Gull,65,Western Gull,1,2
1816,3751,065.Slaty_backed_Gull/Slaty_Backed_Gull_0024_796028.jpg,64,Slaty-backed Gull,degraded,degraded,64,Slaty-backed Gull,58,California Gull,1,3,64,Slaty-backed Gull,58,California Gull,1,2
1822,3766,065.Slaty_backed_Gull/Slaty_Backed_Gull_0036_796053.jpg,64,Slaty-backed Gull,degraded,degraded,64,Slaty-backed Gull,58,California Gull,1,3,64,Slaty-backed Gull,65,Western Gull,1,2
2034,4195,072.Pomarine_Jaeger/Pomarine_Jaeger_0015_61429.jpg,71,Pomarine Jaeger,degraded,degraded,71,Pomarine Jaeger,65,Western Gull,1,3,71,Pomarine Jaeger,64,Slaty-backed Gull,1,3
2203,4533,078.Gray_Kingbird/Gray_Kingbird_0031_70308.jpg,77,Gray Kingbird,degraded,degraded,77,Gray Kingbird,37,Great-Crested Flycatcher,1,3,77,Gray Kingbird,39,Olive-sided Flycatcher,1,2
2334,4796,083.White_breasted_Kingfisher/White_Breasted_Kingfisher_0004_73741.jpg,82,White-breasted Kingfisher,degraded,degraded,82,White-breasted Kingfisher,79,Green Kingfisher,1,2,82,White-breasted Kingfisher,79,Green Kingfisher,1,2
2731,5598,096.Hooded_Oriole/Hooded_Oriole_0045_90415.jpg,95,Hooded Oriole,degraded,degraded,95,Hooded Oriole,97,Scott Oriole,1,2,95,Hooded Oriole,97,Scott Oriole,1,2
2901,5942,102.Western_Wood_Pewee/Western_Wood_Pewee_0073_795044.jpg,101,Western-Wood Pewee,degraded,degraded,101,Western-Wood Pewee,38,Least Flycatcher,1,2,101,Western-Wood Pewee,39,Olive-sided Flycatcher,1,3
3071,6299,108.White_necked_Raven/White_Necked_Raven_0060_797365.jpg,107,White-necked Raven,degraded,degraded,107,White-necked Raven,106,Common Raven,1,2,107,White-necked Raven,28,American Crow,1,2
3072,6300,108.White_necked_Raven/White_Necked_Raven_0011_797367.jpg,107,White-necked Raven,degraded,degraded,107,White-necked Raven,106,Common Raven,1,2,107,White-necked Raven,106,Common Raven,1,2
3317,6801,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0042_797243.jpg,116,Clay-colored Sparrow,degraded,degraded,116,Clay-colored Sparrow,122,Henslow Sparrow,1,4,116,Clay-colored Sparrow,118,Field Sparrow,1,5
4118,8412,144.Common_Tern/Common_Tern_0075_148528.jpg,143,Common Tern,degraded,degraded,143,Common Tern,140,Artic Tern,1,2,143,Common Tern,140,Artic Tern,1,2
4209,8591,147.Least_Tern/Least_Tern_0025_153678.jpg,146,Least Tern,degraded,degraded,146,Least Tern,144,Elegant Tern,1,2,146,Least Tern,144,Elegant Tern,1,2
4875,9931,169.Magnolia_Warbler/Magnolia_Warbler_0043_165774.jpg,168,Magnolia Warbler,degraded,degraded,168,Magnolia Warbler,174,Pine Warbler,1,2,168,Magnolia Warbler,174,Pine Warbler,1,2
4988,10164,173.Orange_crowned_Warbler/Orange_Crowned_Warbler_0019_167626.jpg,172,Orange-crowned Warbler,degraded,degraded,172,Orange-crowned Warbler,178,Tennessee Warbler,1,2,172,Orange-crowned Warbler,178,Tennessee Warbler,1,2
5098,10384,177.Prothonotary_Warbler/Prothonotary_Warbler_0022_174138.jpg,176,Prothonotary Warbler,degraded,degraded,176,Prothonotary Warbler,181,Yellow Warbler,1,2,176,Prothonotary Warbler,179,Wilson Warbler,1,2
